학교명,학교급_구분,시도교육청,교육지원청,지역,위도,경도,주소내역,폐교여부,폐교연도,시도,행정구,학교급,전체학생수,편성학급수,교원1인당학생수,공간유휴화지수,학교코드_KEDI,전체교원수,총교실수,동일생활권_대체학교수
금호중학교,중학교,서울특별시교육청,서울특별시중부교육지원청,서울특별시 중구,37.5580252223,127.0204896106,서울특별시 중구 신당6동,1,,서울,중구,중학교,0,0,0.0,0.0,K010002337,0,0,0
장충고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 중구,37.5526172537,127.0060794429,주소미상,1,,서울,중구,고등학교,0,0,0.0,0.0,K010000525,0,0,0
한양과학기술고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 중구,37.5652920288,127.0119888995,서울특별시 중구 신당동,1,,서울,중구,고등학교,0,0,0.0,0.0,K010000601,0,0,0
서울의료보건고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 중구,37.5570132836,126.9670432287,서울 중구 만리동1가,1,,서울,중구,고등학교,0,0,0.0,0.0,K010000604,0,0,0
성동글로벌경영고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 중구,37.5658902051,127.0127994297,서울특별시 중구 신당동,1,,서울,중구,고등학교,0,0,0.0,0.0,K010000617,0,0,0
자유고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 고창군,35.4401175075,126.6974673742,전라북도 고창군 고창읍 교촌리,1,,전북,고창군,고등학교,0,0,0.0,0.0,K130000304,0,0,0
전북인공지능고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 고창군,35.4142741676,126.5580075529,전라북도 고창군 무장면 무장리,1,,전북,고창군,고등학교,0,0,0.0,0.0,K130000369,0,0,0
계화초등학교,초등학교,전북특별자치도교육청,전북특별자치도부안교육지원청,전북특별자치도 부안군,35.7858561153,126.6378245409,전북특별자치도 부안군 계화면 계화리,1,2024.0,전북,부안군,초등학교,0,0,0.0,0.0,K130000935,0,0,0
백련초등학교,초등학교,전북특별자치도교육청,전북특별자치도부안교육지원청,전북특별자치도 부안군,35.7079816154,126.6008714445,전북특별자치도 부안군 하서면 백련리,1,2024.0,전북,부안군,초등학교,0,0,0.0,0.0,K130000946,0,0,0
백룡초등학교,초등학교,전북특별자치도교육청,전북특별자치도부안교육지원청,전북특별자치도 부안군,35.7186072823,126.8109787741,전라북도 부안군 백산면 용계리,1,,전북,부안군,초등학교,0,0,0.0,0.0,K130000947,0,0,0
고창북중학교,중학교,전북특별자치도교육청,전북특별자치도고창교육지원청,전북특별자치도 고창군,35.5090885132,126.659327349,전라북도 고창군 부안면 상등리,1,,전북,고창군,중학교,0,0,0.0,0.0,K130000467,0,0,0
선동초등학교,초등학교,전북특별자치도교육청,전북특별자치도고창교육지원청,전북특별자치도 고창군,35.3679827806,126.5560989235,전북특별자치도 고창군 공음면 선동리,1,2025.0,전북,고창군,초등학교,0,0,0.0,0.0,K130000498,0,0,0
복흥중학교,중학교,전북특별자치도교육청,전북특별자치도순창교육지원청,전북특별자치도 순창군,35.4331082367,126.9259332329,전라북도 순창군 복흥면 정산리,1,,전북,순창군,중학교,0,0,0.0,0.0,K130001004,0,0,0
새솔중학교,중학교,전북특별자치도교육청,전북특별자치도순창교육지원청,전북특별자치도 순창군,35.3777767841,127.1339325243,전북 순창군 순창읍 순화리,1,,전북,순창군,중학교,0,0,0.0,0.0,K130001006,0,0,0
순창중학교,중학교,전북특별자치도교육청,전북특별자치도순창교육지원청,전북특별자치도 순창군,35.376861887,127.1515258151,전라북도 순창군 순창읍,1,,전북,순창군,중학교,0,0,0.0,0.0,K130001007,0,0,0
한국치즈과학고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 임실군,35.5330532477,127.1646965443,전북특별자치도 임실군 강진면 갈담리,1,,전북,임실군,고등학교,0,0,0.0,0.0,K130000400,0,0,0
인계초등학교,초등학교,전북특별자치도교육청,전북특별자치도순창교육지원청,전북특별자치도 순창군,35.4142932726,127.1589858288,전라북도 순창군 인계면 가성리,1,,전북,순창군,초등학교,0,0,0.0,0.0,K130001025,0,0,0
운암중학교,중학교,전북특별자치도교육청,전북특별자치도임실교육지원청,전북특별자치도 임실군,35.6637502478,127.1575748246,전라북도 임실군 운암면 쌍암리,1,2025.0,전북,임실군,중학교,0,0,0.0,0.0,K130001304,0,0,0
신덕초등학교,초등학교,전북특별자치도교육청,전북특별자치도임실교육지원청,전북특별자치도 임실군,35.6825863243,127.1762898259,전북특별자치도 임실군 신덕면 수천리,1,2025.0,전북,임실군,초등학교,0,0,0.0,0.0,K130001319,0,0,0
부당초등학교,초등학교,전북특별자치도교육청,전북특별자치도무주교육지원청,전북특별자치도 무주군,36.0154548575,127.5801485174,전북특별자치도 무주군 부남면 가당리,1,2026.0,전북,무주군,초등학교,0,0,0.0,0.0,K130000901,0,0,0
무주중학교,중학교,전북특별자치도교육청,전북특별자치도무주교육지원청,전북특별자치도 무주군,36.0106854696,127.6642592397,전북특별자치도 무주군 무주읍 읍내리,1,,전북,무주군,중학교,0,0,0.0,0.0,K130000884,0,0,0
무풍중학교,중학교,전북특별자치도교육청,전북특별자치도무주교육지원청,전북특별자치도 무주군,35.9677233102,127.8467979936,전라북도 무주군 무풍면 현내리,1,2026.0,전북,무주군,중학교,0,0,0.0,0.0,K130000886,0,0,0
무풍고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 무주군,35.9667705419,127.846441939,전라북도 무주군 무풍면 현내리,1,2026.0,전북,무주군,고등학교,0,0,0.0,0.0,K130000343,0,0,0
한국기술부사관고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 진안군,35.8007647393,127.417231137,전라북도 진안군 진안읍  군상리,1,,전북,진안군,고등학교,0,0,0.0,0.0,K130000446,0,0,0
삼우중학교,중학교,전북특별자치도교육청,전북특별자치도완주교육지원청,전북특별자치도 완주군,35.8245639801,127.0241470609,전북특별자치도 완주군 이서면 상개리,1,,전북,완주군,중학교,0,0,0.0,0.0,K130001049,0,0,0
수소에너지고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 완주군,35.9072009161,127.0684175704,전라북도 완주군 삼례읍 후정리,1,,전북,완주군,고등학교,0,0,0.0,0.0,K130000353,0,0,0
전주예술고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 완주군,35.7208693002,127.109137488,전라북도 완주군 구이면 항가리,1,,전북,완주군,고등학교,0,0,0.0,0.0,K130000430,0,0,0
삼례여자중학교,중학교,전북특별자치도교육청,전북특별자치도완주교육지원청,전북특별자치도 완주군,35.9110095202,127.0788169167,전북특별자치도 완주군 삼례읍 삼례리,1,2020.0,전북,완주군,중학교,0,0,0.0,0.0,K130001047,0,0,0
고산동초등학교,초등학교,전북특별자치도교육청,전북특별자치도완주교육지원청,전북특별자치도 완주군,35.9884284353,127.2568904738,전북특별자치도 완주군 고산면 소향리,1,2010.0,전북,완주군,초등학교,0,0,0.0,0.0,K130001060,0,0,0
비룡초등학교,초등학교,전북특별자치도교육청,전북특별자치도김제교육지원청,전북특별자치도 김제시,35.8440349369,126.9894931297,전라북도 김제시 용지면 신정리,1,2026.0,전북,김제시,초등학교,0,0,0.0,0.0,K130000721,0,0,0
심창초등학교,초등학교,전북특별자치도교육청,전북특별자치도김제교육지원청,전북특별자치도 김제시,35.8579047278,126.721119019,전라북도 김제시 진봉면 심포리,1,2025.0,전북,김제시,초등학교,0,0,0.0,0.0,K130000726,0,0,0
화율초등학교,초등학교,전북특별자치도교육청,전북특별자치도김제교육지원청,전북특별자치도 김제시,35.6879606227,127.0423078204,전북특별자치도 김제시 금산면 금성리,1,2024.0,전북,김제시,초등학교,0,0,0.0,0.0,K130000731,0,0,0
금남초등학교,초등학교,전북특별자치도교육청,전북특별자치도김제교육지원청,전북특별자치도 김제시,35.7435406626,126.9949986021,전북특별자치도 김제시 금산면 용산리,1,2024.0,전북,김제시,초등학교,0,0,0.0,0.0,K130000703,0,0,0
서울교동초등학교,초등학교,서울특별시교육청,서울특별시중부교육지원청,서울특별시 종로구,37.5750056742,126.9881510471,서울특별시 종로구 경운동,1,,서울,종로구,초등학교,0,0,0.0,0.0,K010002370,0,0,0
수지중학교,중학교,전북특별자치도교육청,전북특별자치도남원교육지원청,전북특별자치도 남원시,35.3342198639,127.3632598588,전북특별자치도 남원시 수지면 산정리,1,2024.0,전북,남원시,중학교,0,0,0.0,0.0,K130000798,0,0,0
남원서진고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 남원시,35.4257262014,127.4066021857,전라북도 남원시 월락동,1,,전북,남원시,고등학교,0,0,0.0,0.0,K130000328,0,0,0
금지동초등학교,초등학교,전북특별자치도교육청,전북특별자치도남원교육지원청,전북특별자치도 남원시,35.3565631798,127.2989794169,전북특별자치도 남원시 금지면 옹정리,1,2026.0,전북,남원시,초등학교,0,0,0.0,0.0,K130000806,0,0,0
글로벌학산고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 정읍시,35.5613190689,126.8752046231,전라북도 정읍시 상동,1,,전북,정읍시,고등학교,0,0,0.0,0.0,K130000454,0,0,0
이평중학교,중학교,전북특별자치도교육청,전북특별자치도정읍교육지원청,전북특별자치도 정읍시,35.6627106897,126.8114330926,전북특별자치도 정읍시 이평면,1,,전북,정읍시,중학교,0,0,0.0,0.0,K130001590,0,0,0
샘고을중학교,중학교,전북특별자치도교육청,전북특별자치도정읍교육지원청,전북특별자치도 정읍시,35.5680131615,126.8566951173,전라북도 정읍시 장명동,1,,전북,정읍시,중학교,0,0,0.0,0.0,K130001595,0,0,0
용곽초등학교,초등학교,전북특별자치도교육청,전북특별자치도정읍교육지원청,전북특별자치도 정읍시,35.7294004909,126.888596003,전북특별자치도 정읍시 감곡면 용곽리,1,2010.0,전북,정읍시,초등학교,0,0,0.0,0.0,K130001633,0,0,0
